Category,Name,Link,Attempt Number,Time Spent
Arrays and Hashing,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,0,0
Arrays and Hashing,Valid Anagram,https://leetcode.com/problems/valid-anagram/,0,0
Arrays and Hashing,Two Sum,https://leetcode.com/problems/two-sum/,0,0
Arrays and Hashing,Group Anagrams,https://leetcode.com/problems/group-anagrams/,0,0
Arrays and Hashing,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,0,0
Arrays and Hashing,"Product of Array Except Self	
",https://leetcode.com/problems/product-of-array-except-self/,0,0
Arrays and Hashing,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,0,0
Arrays and Hashing,Encode and Decode Strings,https://leetcode.com/accounts/login/?next=/problems/encode-and-decode-strings/,0,0
Arrays and Hashing,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,0,0
Two Pointers,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,0,0
Two Pointers,Two Sum II,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,0,0
Two Pointers,3Sum,https://leetcode.com/problems/3sum/,0,0
Two Pointers,Container with Most Water,https://leetcode.com/problems/container-with-most-water/,0,0
Two Pointers,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,0,0
Sliding Window,Best Time to Buy & Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,0,0
Sliding Window,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,0,0
Sliding Window,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,0,0
Sliding Window,Permutation in String,https://leetcode.com/problems/permutation-in-string/,0,0
Sliding Window,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,0,0
Sliding Window,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,0,0
Stack,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,0,0
Stack,Min Stack,https://leetcode.com/problems/min-stack/,0,0
Stack,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,0,0
Stack,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,0,0
Stack,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,0,0
Stack,Car Fleet,https://leetcode.com/problems/car-fleet/,0,0
Stack,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,0,0
Binary Search,Binary Search,https://leetcode.com/problems/binary-search/,0,0
Binary Search,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,0,0
Binary Search,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,0,0
Binary Search,Search Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,0,0
Binary Search,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,0,0
Binary Search,Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store/,0,0
Binary Search,Find Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,0,0
Linked List,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,0,0
Linked List,Merge Two Linked Lists,https://leetcode.com/problems/merge-two-sorted-lists/,0,0
Linked List,Reorder List,https://leetcode.com/problems/reorder-list/,0,0
Linked List,Remove Nth Node from End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,0,0
Linked List,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,0,0
Linked List,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,0,0
Linked List,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,0,0
Linked List,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,0,0
Linked List,LRU Cache,https://leetcode.com/problems/lru-cache/,0,0
Linked List,Merge K Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,0,0
Linked List,Reverse Nodes in K-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,0,0
Trees,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,0,0
Trees,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,0,0
Trees,Diameter of a Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,0,0
Trees,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,0,0
Trees,Same Tree,https://leetcode.com/problems/same-tree/,0,0
Trees,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,0,0
Trees,Lowest Common Ancestor of a BST,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,0,0
Trees,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,0,0
Trees,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,0,0
